Category_ID,Category_Name,Department_Name,Super_Category,Category_Level,Tax_Hsn_Code,Is_Taxable,Category_Status,Created_By,Internal_Notes,Subcategory_ID,Subcategory_Name
C011,Women's Clothing,Fashion & Apparel,Apparel,Level-2,6204,True,Active,admin@myecommerce.com,"Women's formal, casual, ethnic, and sportswear",201; 202; 203; 204; 205,Womens Formal Wear; Womens Casual Wear; Womens Ethnic Wear; Womens Innerwear; Womens Dresses
C012,Footwear,Fashion & Apparel,Apparel,Level-2,6403,True,Active,admin@myecommerce.com,"Sports shoes, formal shoes, sandals, boots across all genders",211; 212; 213; 214; 215; 216; 217,Mens Shoes; Womens Shoes; Sports Shoes; Luxury Shoes; Sandals & Slippers; Boots; Kids Footwear
C013,Accessories,Fashion & Apparel,Apparel,Level-2,4202,True,Active,admin@myecommerce.com,"Belts, wallets, bags, hats, sunglasses, and fashion accessories",221; 222; 223; 224; 225; 226; 227,Luxury Handbags; Wallets & Cardholders; Belts; Sunglasses; Hats & Caps; Scarves & Stoles; Luxury Accessories
C014,Sportswear,Fashion & Apparel,Apparel,Level-2,6211,True,Active,admin@myecommerce.com,Athletic and performance clothing for sports and gym use,231; 232; 233; 234; 235; 236,Mens Activewear; Womens Activewear; Sports Jackets; Compression Wear; Sports Accessories; Swimwear
C015,Jewelry,Fashion & Apparel,Apparel,Level-2,7113,True,Active,admin@myecommerce.com,"Fine jewelry, watches, rings, necklaces, and bracelets",241; 242; 243; 244; 245; 246; 247,Diamond Jewelry; Gold Jewelry; Silver Jewelry; Luxury Rings; Necklaces & Pendants; Bracelets & Bangles; Earrings
C016,Home & Kitchen,Home & Living,Home,Level-1,8516,True,Active,admin@myecommerce.com,"Top-level category for home goods, kitchenware, and appliances",251; 252; 253; 254,Kitchen Essentials; Cookware; Dining & Tableware; Storage Solutions
C017,Kitchen Appliances,Home & Living,Home,Level-2,8516,True,Active,admin@myecommerce.com,"Refrigerators, microwaves, ovens, dishwashers, and small appliances",261; 262; 263; 264; 265; 266; 267,Refrigerators; Washing Machines; Microwaves & Ovens; Dishwashers; Air Conditioners; Small Appliances; Vacuum Cleaners
C018,Furniture,Home & Living,Home,Level-2,9401,True,Active,admin@myecommerce.com,"Sofas, beds, tables, chairs, cabinets, and home furniture",271; 272; 273; 274; 275,Sofas & Couches; Beds & Mattresses; Dining Tables & Chairs; Wardrobes & Cabinets; TV Units & Shelves
C019,Home Decor,Home & Living,Home,Level-2,9405,True,Active,admin@myecommerce.com,"Wall decor, lamps, candles, vases, picture frames, and decorative lighting items",281; 282; 283; 284; 285,Wall Art & Frames; Lamps & Lighting; Vases & Candles; Cushions & Throws; Curtains & Blinds
C020,Bedding,Home & Living,Home,Level-2,6302,True,Active,admin@myecommerce.com,"Bed sheets, pillowcases, comforters, mattress covers",291; 292; 293; 294,Bed Sheets; Comforters & Duvets; Pillows & Pillowcases; Mattress Protectors
C021,Beauty & Personal Care,Health & Beauty,Personal Care,Level-1,3304,True,Active,admin@myecommerce.com,"Top-level category for beauty, grooming, and personal care products",301; 302; 303; 304; 305; 306,Face Care; Body Care; Mens Grooming; Womens Beauty; Natural & Organic Beauty; Premium Beauty
C022,Skincare,Health & Beauty,Personal Care,Level-2,3304,True,Active,admin@myecommerce.com,"Moisturizers, serums, sunscreen, face wash, and anti-aging products",311; 312; 313; 314; 315; 316,Moisturizers; Serums & Essences; Sunscreen & SPF; Face Wash & Cleansers; Anti-Aging; Face Masks
C023,Makeup,Health & Beauty,Personal Care,Level-2,3304,True,Active,admin@myecommerce.com,"Foundation, lipstick, eyeshadow, mascara, and cosmetics",321; 322; 323; 324; 325,Foundation & Concealer; Lipstick & Lip Gloss; Eye Makeup; Blush & Bronzer; Makeup Tools
C024,Hair Care,Health & Beauty,Personal Care,Level-2,3305,True,Active,admin@myecommerce.com,"Shampoo, conditioner, hair oil, hair color, and styling products",331; 332; 333; 334; 335,Shampoo & Conditioner; Hair Oils & Serums; Hair Color; Styling Products; Hair Tools
C025,Fragrances,Health & Beauty,Personal Care,Level-2,3303,True,Active,admin@myecommerce.com,"Perfumes, colognes, deodorants, and body sprays",341; 342; 343; 344; 345,Mens Perfumes; Womens Perfumes; Unisex Fragrances; Deodorants & Body Spray; Luxury Fragrances
C026,Personal Hygiene,Health & Beauty,Personal Care,Level-2,3307,True,Active,admin@myecommerce.com,"Toothpaste, soap, body wash, razors, and personal hygiene items",351; 352; 353; 354; 355,Oral Care; Soaps & Body Wash; Shaving & Hair Removal; Feminine Hygiene; Hand Sanitizers
C027,Groceries & Food,Food & Beverages,Consumables,Level-1,2106,True,Active,admin@myecommerce.com,"Top-level category for food items, packaged goods, and daily groceries",361; 362; 363; 364; 365; 366,Packaged Foods; Cooking Oils & Ghee; Spices & Condiments; Rice Flour & Grains; Breakfast Cereals; Organic Foods
C028,Beverages,Food & Beverages,Consumables,Level-2,2202,True,Active,admin@myecommerce.com,"Non-alcoholic drinks: juices, soft drinks, water, energy drinks, tea/coffee",371; 372; 373; 374; 375; 376,Juices & Nectars; Soft Drinks & Sodas; Water & Hydration; Tea & Coffee; Energy Drinks; Health Drinks
C029,Snacks,Food & Beverages,Consumables,Level-2,1905,True,Active,admin@myecommerce.com,"Chips, biscuits, cookies, candies, chocolate bars, and packaged snacks",381; 382; 383; 384; 385,Chips & Namkeen; Biscuits & Cookies; Chocolates & Candies; Dry Fruits & Nuts; Health Snacks
C030,Canned Goods,Food & Beverages,Consumables,Level-2,2005,True,Active,admin@myecommerce.com,"Canned vegetables, fruits, soups, and ready-to-eat canned items",391; 392; 393; 394,Canned Vegetables; Canned Fruits; Canned Soups; Ready-to-Eat Canned
C031,Dairy Products,Food & Beverages,Consumables,Level-2,402,True,Active,admin@myecommerce.com,"Milk, butter, cheese, curd, yogurt, and dairy-based products",401; 402; 403; 404,Milk & Cream; Butter & Ghee; Cheese; Yogurt & Curd
C032,Bakery,Food & Beverages,Consumables,Level-2,1905,True,Active,admin@myecommerce.com,"Bread, cakes, pastries, muffins, and fresh/packaged baked goods",411; 412; 413; 414,Breads & Buns; Cakes & Pastries; Muffins & Croissants; Packaged Baked Goods
C033,Sports & Outdoors,Sports & Recreation,Recreation,Level-1,9506,True,Active,admin@myecommerce.com,"Top-level category for sports equipment, fitness gear, and outdoor activities",421; 422; 423; 424,Fitness & Gym; Outdoor Sports; Water Sports; Team Sports
C034,Fitness Equipment,Sports & Recreation,Recreation,Level-2,9506,True,Active,admin@myecommerce.com,"Gym equipment, yoga mats, weights, treadmills, and fitness accessories",431; 432; 433; 434,Treadmills & Cardio; Weights & Dumbbells; Yoga & Pilates; Gym Accessories
C035,Outdoor Gear,Sports & Recreation,Recreation,Level-2,9506,True,Active,admin@myecommerce.com,"Trekking, hiking, climbing, and adventure outdoor gear",441; 442; 443; 444,Trekking & Hiking; Climbing Gear; Adventure Sports; Outdoor Lighting
C036,Camping,Sports & Recreation,Recreation,Level-2,6306,True,Active,admin@myecommerce.com,"Tents, sleeping bags, camping stoves, tarps, and outdoor survival gear",451; 452; 453; 454,Tents & Shelters; Sleeping Bags; Camping Stoves; Camping Accessories
C037,Books & Media,Entertainment,Media,Level-1,4901,True,Active,admin@myecommerce.com,"Top-level category for books, digital media, music, and entertainment",461; 462; 463; 464,Fiction Books; Non-Fiction Books; Academic Books; Digital Media
C038,Books,Entertainment,Media,Level-2,4901,False,Active,admin@myecommerce.com,"Fiction, non-fiction, textbooks, and eBooks ? GST Exempt in India",471; 472; 473; 474; 475,Fiction; Non-Fiction; Textbooks; eBooks; Comics & Graphic Novels
C039,Music,Entertainment,Media,Level-2,8523,True,Inactive,admin@myecommerce.com,Physical music CDs and vinyl ? largely replaced by digital streaming (Inactive),481; 482; 483,Pop & Rock CDs; Classical Music; Vinyl Records
C040,Movies,Entertainment,Media,Level-2,8523,True,Inactive,admin@myecommerce.com,Physical movie DVDs/Blu-Ray ? largely replaced by OTT platforms (Inactive),491; 492; 493,Action & Thriller DVDs; Drama DVDs; Blu-Ray Movies
C041,Video Games,Entertainment,Media,Level-2,9504,True,Active,admin@myecommerce.com,"Video game titles, DLC, and gaming software across all platforms",501; 502; 503; 504; 505,PlayStation Games; Xbox Games; Nintendo Games; PC Games; Game DLC & Credits
C042,Automotive,Automotive,Automotive,Level-1,8703,True,Active,admin@myecommerce.com,"Top-level category for vehicles, auto parts, and automotive accessories",511; 512; 513; 514; 515; 516,Luxury Sedans; SUVs & Crossovers; Sports Cars; Electric Vehicles; Hybrid Cars; Coupes
C043,Car Parts,Automotive,Automotive,Level-2,8708,True,Active,admin@myecommerce.com,"Engine parts, brake pads, filters, and replacement auto components",521; 522; 523; 524,Engine Parts; Brake & Suspension; Filters & Fluids; Tyres & Wheels
C044,Car Accessories,Automotive,Automotive,Level-2,8708,True,Active,admin@myecommerce.com,"Seat covers, car mats, GPS devices, dash cams, and vehicle accessories",531; 532; 533; 534,Seat Covers & Mats; Car Electronics; Exterior Accessories; Car Care Products
C045,Motorcycle,Automotive,Automotive,Level-2,8711,True,Active,admin@myecommerce.com,"Two-wheelers, scooters, and motorcycle accessories",541; 542; 543; 544,Sports Bikes; Cruisers; Scooters; Motorcycle Accessories
C046,Pet Supplies,Pet Care,Pets,Level-1,2309,True,Active,admin@myecommerce.com,"Top-level category for all pet-related food, supplies, and accessories",551; 552; 553; 554,Pet Food; Pet Toys; Pet Grooming; Pet Healthcare
C047,Dog Supplies,Pet Care,Pets,Level-2,2309,True,Active,admin@myecommerce.com,"Dog food (dry/wet), treats, toys, grooming, leashes, kennels, and training aids",561; 562; 563; 564; 565,Dog Food Dry; Dog Food Wet; Dog Treats; Dog Toys; Dog Grooming
C048,Cat Supplies,Pet Care,Pets,Level-2,2309,True,Active,admin@myecommerce.com,"Cat food, litter boxes, litter, scratching posts, toys, and cat accessories",571; 572; 573; 574; 575,Cat Food Dry; Cat Food Wet; Cat Litter & Boxes; Cat Toys; Cat Accessories
C049,Bird Supplies,Pet Care,Pets,Level-2,2309,True,Active,admin@myecommerce.com,"Bird seed, cages, perches, feeders, and avian care products",581; 582; 583,Bird Food & Seeds; Bird Cages; Bird Perches & Toys
C050,Office Supplies,Office,Business,Level-1,4820,True,Active,admin@myecommerce.com,Top-level category for business and office-related products,591; 592; 593; 594,Office Technology; Desk Accessories; Filing & Organization; Office Essentials
C051,Stationery,Office,Business,Level-2,3926,True,Active,admin@myecommerce.com,"Pens, notebooks, files, folders, paper, and desk accessories",601; 602; 603; 604,Pens & Pencils; Notebooks & Diaries; Files & Folders; Art & Craft Supplies
C052,Office Furniture,Office,Business,Level-2,9401,True,Active,admin@myecommerce.com,"Office chairs, desks, filing cabinets, and ergonomic furniture",611; 612; 613; 614,Office Chairs; Office Desks; Filing Cabinets; Ergonomic Accessories
C053,Printers & Ink,Office,Business,Level-2,8443,True,Active,admin@myecommerce.com,"Inkjet/laser printers, ink cartridges, toner, and scanner accessories",621; 622; 623; 624; 625,Inkjet Printers; Laser Printers; Ink Cartridges & Toner; Scanners; All-in-One Printers
C054,Watches & Timepieces,Fashion & Apparel,Apparel,Level-2,9102,True,Active,admin@myecommerce.com,"Luxury and standard watches, smartwatches, and timepieces from brands like Rolex, Omega, Tag Heuer, IWC",631; 632; 633; 634; 635,Luxury Watches; Smartwatches; Sports Watches; Classic Watches; Limited Edition Watches
C055,Alcoholic Beverages,Food & Beverages,Consumables,Level-2,2203,True,Active,admin@myecommerce.com,"Beer, wine, spirits, whisky, vodka from brands like Heineken, Diageo, Pernod Ricard, LVMH Wines",641; 642; 643; 644; 645,Beer & Cider; Wine; Whisky & Spirits; Vodka & Gin; Luxury Spirits
C056,Luxury Vehicles,Automotive,Automotive,Level-2,8703,True,Active,admin@myecommerce.com,"Premium and luxury cars ? Ferrari, Lamborghini, Bentley, Rolls-Royce, McLaren, Porsche, Aston Martin",651; 652; 653; 654,Luxury Supercars; Luxury SUVs; Grand Tourers; Hyper Cars
